用户编号,用户名称,所在市,所在区,用户类型,是否有光伏
ND-GY-F-001,福建俊杰新材料科技股份有限公司,宁德,蕉城,E. 光伏反向制造业,是
PT-GY-F-001,福建省莆田市新兴达饲料有限公司,莆田,城厢,E. 光伏反向制造业,是
FZ-SY-F-001,福州超库鲜生供应链管理有限公司,福州,鼓楼,E. 光伏反向制造业,是
QZ-SY-F-001,福建省德化圣光工艺有限公司,泉州,鲤城,E. 光伏反向制造业,是
QZ-GY-001,泉州南岛新材料科技有限公司,泉州,鲤城,A. 刚性连续工业,否
QZ-GY-002,泉州市泉港区昌玉汽车零件厂,泉州,鲤城,A. 刚性连续工业,否
FZ-GY-001,福州信青源家具有限公司,福州,鼓楼,A. 刚性连续工业,否
FZ-GY-002,福州年盛机电有限公司,福州,鼓楼,A. 刚性连续工业,否
FZ-GY-003,福州至和玻璃有限公司,福州,鼓楼,A. 刚性连续工业,否
FZ-GY-004,福州雅赛诺家居有限公司,福州,鼓楼,A. 刚性连续工业,否
FZ-GY-005,闽侯县天泽工艺品有限公司,福州,鼓楼,A. 刚性连续工业,否
FZ-CZ-001,津太新能源科技（福建）有限公司,福州,鼓楼,C. 双峰新能源充电站,否
QZ-SY-001,泉州市鲤城三清工艺品有限公司,泉州,鲤城,D. 刚性行政公共事业,否
FZ-GG-001,福州市晋安区象园街道办事处,福州,鼓楼,D. 刚性行政公共事业,否
FZ-GG-002,福州市鼓楼区元兴物业有限公司,福州,鼓楼,D. 刚性行政公共事业,否
FZ-GG-003,福建安捷物业管理有限公司,福州,鼓楼,D. 刚性行政公共事业,否
FZ-GG-004,福建运杰物流有限公司,福州,鼓楼,D. 刚性行政公共事业,否
FZ-GG-005,福建省元乐达工贸有限公司,福州,鼓楼,B. 单班白昼工业,否
