所在市_norm,datetime,temperature,shortwave_radiation,humidity,cloud,rainfall,weather,wind_speed,pressure,visibility,dew_point,air_quality,wind_direction
宁德,2026-01-01 00:00:00,12.8,0.0,66.0,100.0,0.0,未知,,,,,,
莆田,2026-01-01 00:00:00,13.5,0.0,63.0,100.0,0.0,未知,,,,,,
福州,2026-01-01 00:00:00,12.2,0.0,64.0,100.0,0.0,未知,,,,,,
泉州,2026-01-01 00:00:00,11.0,0.0,71.0,100.0,0.0,未知,,,,,,
泉州,2026-01-01 01:00:00,10.8,0.0,72.0,100.0,0.0,未知,,,,,,
福州,2026-01-01 01:00:00,12.1,0.0,62.0,100.0,0.0,未知,,,,,,
宁德,2026-01-01 01:00:00,12.6,0.0,67.0,100.0,0.0,未知,,,,,,
莆田,2026-01-01 01:00:00,13.2,0.0,61.0,100.0,0.0,未知,,,,,,
泉州,2026-01-01 02:00:00,10.7,0.0,74.0,100.0,0.0,未知,,,,,,
福州,2026-01-01 02:00:00,11.9,0.0,61.0,100.0,0.0,未知,,,,,,
宁德,2026-01-01 02:00:00,12.3,0.0,67.0,100.0,0.0,未知,,,,,,
莆田,2026-01-01 02:00:00,13.0,0.0,61.0,100.0,0.0,未知,,,,,,
福州,2026-01-01 03:00:00,11.9,0.0,59.0,100.0,0.0,未知,,,,,,
宁德,2026-01-01 03:00:00,12.1,0.0,66.0,100.0,0.0,未知,,,,,,
泉州,2026-01-01 03:00:00,10.8,0.0,74.0,100.0,0.0,未知,,,,,,
莆田,2026-01-01 03:00:00,12.9,0.0,59.0,100.0,0.0,未知,,,,,,
泉州,2026-01-01 04:00:00,10.5,0.0,75.0,100.0,0.0,未知,,,,,,
福州,2026-01-01 04:00:00,11.8,0.0,60.0,100.0,0.0,未知,,,,,,
莆田,2026-01-01 04:00:00,12.9,0.0,58.0,100.0,0.0,未知,,,,,,
宁德,2026-01-01 04:00:00,11.7,0.0,69.0,100.0,0.0,未知,,,,,,
莆田,2026-01-01 05:00:00,12.8,0.0,58.0,100.0,0.0,未知,,,,,,
宁德,2026-01-01 05:00:00,11.6,0.0,69.0,100.0,0.0,未知,,,,,,
泉州,2026-01-01 05:00:00,10.4,0.0,75.0,100.0,0.0,未知,,,,,,
福州,2026-01-01 05:00:00,11.6,0.0,62.0,100.0,0.0,未知,,,,,,
宁德,2026-01-01 06:00:00,11.3,0.0,73.0,100.0,0.0,未知,,,,,,
泉州,2026-01-01 06:00:00,10.1,0.0,76.0,100.0,0.0,未知,,,,,,
莆田,2026-01-01 06:00:00,12.7,0.0,58.0,100.0,0.0,未知,,,,,,
福州,2026-01-01 06:00:00,11.4,0.0,63.0,100.0,0.0,未知,,,,,,
宁德,2026-01-01 07:00:00,10.7,0.0,84.0,85.0,0.4,未知,,,,,,
莆田,2026-01-01 07:00:00,12.5,0.0,60.0,96.0,0.0,未知,,,,,,
泉州,2026-01-01 07:00:00,9.7,0.0,78.0,100.0,0.0,未知,,,,,,
福州,2026-01-01 07:00:00,11.2,0.0,65.0,100.0,0.0,未知,,,,,,
宁德,2026-01-01 08:00:00,11.5,36.0,72.0,100.0,0.1,未知,,,,,,
泉州,2026-01-01 08:00:00,10.8,53.0,78.0,81.0,0.0,未知,,,,,,
福州,2026-01-01 08:00:00,11.5,36.0,68.0,77.0,0.0,未知,,,,,,
莆田,2026-01-01 08:00:00,13.1,29.0,60.0,75.0,0.0,未知,,,,,,
莆田,2026-01-01 09:00:00,13.7,146.0,59.0,91.0,0.0,未知,,,,,,
