用户编号,用户名称,所在市,所在区,用户类型,是否有光伏
QZ-GY-001,泉州南岛新材料科技有限公司,泉州,鲤城区,工业用户,否
QZ-GY-002,泉州市泉港区昌玉汽车零件厂,泉州,泉港区,工业用户,否
QZ-GY-003,待补充,泉州,待补充,工业用户,否
QZ-GY-004,待补充,泉州,待补充,工业用户,否
QZ-GY-005,待补充,泉州,待补充,工业用户,否
FZ-GY-001,福州信青源家具有限公司,福州,台江区,工业用户,否
FZ-GY-002,福州年盛机电有限公司,福州,仓山区,工业用户,否
FZ-GY-003,福州至和玻璃有限公司,福州,马尾区,工业用户,否
FZ-GY-004,福州雅赛诺家居有限公司,福州,晋安区,工业用户,否
FZ-GY-005,闽侯县天泽工艺品有限公司,福州,闽侯县,工业用户,否
FZ-GY-006,待补充,福州,待补充,工业用户,否
FZ-GY-007,待补充,福州,待补充,工业用户,否
FZ-GY-008,待补充,福州,待补充,工业用户,否
ND-GY-F-001,福建俊杰新材料科技股份有限公司,宁德,蕉城区,工业用户,是
PT-GY-F-001,福建省莆田市新兴达饲料有限公司,莆田,涵江区,工业用户,是
FZ-CZ-001,津太新能源科技（福建）有限公司,福州,鼓楼区,充电站用户,否
QZ-SY-001,泉州市鲤城三清工艺品有限公司,泉州,鲤城区,商业用户,否
QZ-SY-F-001,福建省德化圣光工艺有限公司,泉州,德化县,工业用户,是
FZ-GG-001,福州市晋安区象园街道办事处,福州,晋安区,公共事业用户,否
FZ-GG-002,福州市鼓楼区元兴物业有限公司,福州,鼓楼区,公共事业用户,否
FZ-GG-003,福建安捷物业管理有限公司,福州,台江区,公共事业用户,否
FZ-GG-004,福建运杰物流有限公司,福州,仓山区,公共事业用户,否
FZ-GG-005,福州超库鲜生,福州,晋安区,工业用户,是
FZ-GG-995,三清工艺品1,福州,晋安区,工业用户,是
FZ-GG-996,元乐达,福州,晋安区,工业用户,是
