region,datetime,weather,temperature,rainfall,wind_direction,wind_level,wind_speed,wind_angle,pressure,humidity,air_quality,visibility,cloud,dew_point,shortwave_radiation,所在市_norm,所在区_norm
福建/宁德/蕉城,2026-01-01 01:00:00,多云,12.8,0.0,未知,2,8,0,1000,66,50,10,100,,0.0,宁德,蕉城
福建/莆田/城厢,2026-01-01 01:00:00,多云,13.5,0.0,未知,2,8,0,1000,63,50,10,100,,0.0,莆田,城厢
福建/福州/鼓楼,2026-01-01 01:00:00,多云,12.2,0.0,未知,2,8,0,1000,64,50,10,100,,0.0,福州,鼓楼
福建/泉州/鲤城,2026-01-01 01:00:00,多云,11.0,0.0,未知,2,8,0,1000,71,50,10,100,,0.0,泉州,鲤城
福建/福州/鼓楼,2026-01-01 02:00:00,多云,12.1,0.0,未知,2,8,0,1000,62,50,10,100,,0.0,福州,鼓楼
福建/泉州/鲤城,2026-01-01 02:00:00,多云,10.8,0.0,未知,2,8,0,1000,72,50,10,100,,0.0,泉州,鲤城
福建/宁德/蕉城,2026-01-01 02:00:00,多云,12.6,0.0,未知,2,8,0,1000,67,50,10,100,,0.0,宁德,蕉城
福建/莆田/城厢,2026-01-01 02:00:00,多云,13.2,0.0,未知,2,8,0,1000,61,50,10,100,,0.0,莆田,城厢
福建/泉州/鲤城,2026-01-01 03:00:00,多云,10.7,0.0,未知,2,8,0,1000,74,50,10,100,,0.0,泉州,鲤城
福建/福州/鼓楼,2026-01-01 03:00:00,多云,11.9,0.0,未知,2,8,0,1000,61,50,10,100,,0.0,福州,鼓楼
福建/宁德/蕉城,2026-01-01 03:00:00,多云,12.3,0.0,未知,2,8,0,1000,67,50,10,100,,0.0,宁德,蕉城
福建/莆田/城厢,2026-01-01 03:00:00,多云,13.0,0.0,未知,2,8,0,1000,61,50,10,100,,0.0,莆田,城厢
福建/泉州/鲤城,2026-01-01 04:00:00,多云,10.8,0.0,未知,2,8,0,1000,74,50,10,100,,0.0,泉州,鲤城
